,Return
2012-09-24,-0.1017908813515828
2012-10-01,-0.15088456587182975
2012-10-08,-0.16209686792181582
2012-10-15,-0.15662561332427988
2012-10-22,-0.16073186764691086
2012-10-29,-0.15561596688129442
2012-11-05,-0.11959171668129875
2012-11-12,-0.15088404442932307
2012-11-19,-0.17517356075934956
2012-11-26,-0.1336127852915157
2012-12-03,-0.1317058056242405
2012-12-10,-0.1245843712140024
2012-12-17,-0.07752672125819407
2012-12-24,-0.052408735920522975
2012-12-31,-0.05423552963002521
2013-01-07,-0.024408867054221062
2013-01-14,-0.04226581260822024
2013-01-21,-0.0258422144763995
2013-01-28,-0.037188953763290844
2013-02-04,-0.045716995352365994
2013-02-11,-0.07403170234283837
2013-02-18,-0.07396239821247634
2013-02-25,-0.11416143713721535
2013-03-04,-0.09863025017442228
2013-03-11,-0.0732502675358589
2013-03-18,-0.10243915579698705
2013-03-25,-0.11531525328555993
2013-04-01,-0.10514178253999312
2013-04-08,-0.1271404548905425
2013-04-15,-0.12282743159656687
2013-04-22,-0.1674071591951095
2013-04-29,-0.13690067752557508
2013-05-06,-0.13809477065973175
2013-05-13,-0.1319650455990914
2013-05-20,-0.14515483216849567
2013-05-27,-0.13173061157001445
