,Return
2011-11-14,-0.20669537615549297
2011-11-21,-0.20377932986440667
2011-11-28,-0.1922460514704818
2011-12-05,-0.16304799574340162
2011-12-12,-0.18595545780045417
2011-12-19,-0.18729465552820704
2011-12-26,-0.10763343340629478
2012-01-02,-0.14810980770798535
2012-01-09,-0.1370402316448934
2012-01-16,-0.17815422104855957
2012-01-23,-0.11535588270356865
2012-01-30,-0.11345243632335344
2012-02-06,-0.05571041801814281
2012-02-13,-0.03851069651000745
2012-02-20,-0.03767770170799672
2012-02-27,-0.03581752474219293
2012-03-05,0.03476574701334561
2012-03-12,0.028748094766080444
2012-03-19,0.05067239835572137
2012-03-26,0.00533288860790191
2012-04-02,-0.00726352709046193
2012-04-09,-0.012641076740355583
2012-04-16,-0.04559492056985033
2012-04-23,-0.009434650019219538
2012-04-30,-0.016283910727612077
2012-05-07,-0.0446830745381092
2012-05-14,-0.05915603142726847
2012-05-21,-0.1758160095176068
2012-05-28,-0.1552459510829186
2012-06-04,-0.19981981536607368
2012-06-11,-0.17520623597660018
2012-06-18,-0.14348226757261007
2012-06-25,-0.15210360559997183
2012-07-02,-0.1389523765927817
2012-07-09,-0.14583432409278646
2012-07-16,-0.16945492151565927
2012-07-23,-0.18996386703913382
2012-07-30,-0.18315728838635148
2012-08-06,-0.17379989592930034
2012-08-13,-0.1464286639902665
2012-08-20,-0.15273342070155485
2012-08-27,-0.14960300082306224
2012-09-03,-0.16688048531251137
2012-09-10,-0.1564681278536081
2012-09-17,-0.09518199458114432
2012-09-24,-0.06524331072028072
2012-10-01,-0.08513381552806151
2012-10-08,-0.09894223513640284
2012-10-15,-0.08265882177649062
2012-10-22,-0.08355192276901288
2012-10-29,-0.08840177793251174
2012-11-05,-0.05579547987162027
2012-11-12,-0.09169720162072661
2012-11-19,-0.13328721653655312
2012-11-26,-0.10893276620002018
2012-12-03,-0.15418763570098787
2012-12-10,-0.13438958410069646
2012-12-17,-0.08625686970754387
2012-12-24,-0.07118507455660363
2012-12-31,-0.06825413007079113
2013-01-07,-0.02971057498834348
2013-01-14,-0.04859892796099219
2013-01-21,0.002444674393959373
2013-01-28,0.02560236998620925
2013-02-04,0.02031259402500691
2013-02-11,-0.014045472301773214
2013-02-18,-0.0039433969989067195
2013-02-25,-0.0501074673415724
2013-03-04,-0.05024875501918814
2013-03-11,-0.014126255657983311
2013-03-18,-0.0206558797216667
2013-03-25,-0.04653965128456039
2013-04-01,-0.042083807572509624
2013-04-08,-0.07715075618282238
2013-04-15,-0.07595528067103846
2013-04-22,-0.11385854214585922
2013-04-29,-0.10885726134957868
2013-05-06,-0.09425272218886949
2013-05-13,-0.08740514565003521
2013-05-20,-0.05549740606717519
2013-05-27,-0.050323789133092614
2013-06-03,-0.05719109590194703
2013-06-10,-0.07316570060328911
2013-06-17,-0.15258316786225004
2013-06-24,-0.18196496459959297
2013-07-01,-0.1337942591400987
2013-07-08,-0.1513642081518468
2013-07-15,-0.14734565821014076
2013-07-22,-0.10297496756553089
2013-07-29,-0.09242777713692006
2013-08-05,-0.08490585701730896
2013-08-12,-0.031830915724469284
2013-08-19,-0.014271680728372819
2013-08-26,-0.019055644531687604
2013-09-02,-0.029528825480268975
2013-09-09,-0.0045832064965013845
2013-09-16,0.01560034153593913
2013-09-23,0.005142625864777341
2013-09-30,0.02758965078171851
2013-10-07,0.021176557053618917
2013-10-14,0.04284451761581785
2013-10-21,0.05700094249679754
2013-10-28,0.05910487017663368
2013-11-04,0.07825590586240044
2013-11-11,0.06745818743628751
2013-11-18,0.07843933670580717
2013-11-25,0.06342216116788636
2013-12-02,0.07593611877503538
2013-12-09,0.035015430183767474
2013-12-16,0.017898599572688332
2013-12-23,0.07276063670304098
2013-12-30,0.08064589279858983
2014-01-06,0.055185678804508684
2014-01-13,0.04208136081080015
2014-01-20,0.04491274673142035
2014-01-27,0.002175106602310427
2014-02-03,0.015937333627116523
2014-02-10,0.008256775225824377
2014-02-17,0.009351695530855856
2014-02-24,-0.02350908795322441
2014-03-03,-0.031337662031894066
2014-03-10,-0.057556864947700695
2014-03-17,-0.08237359897965527
2014-03-24,-0.03108469088365741
2014-03-31,-0.010986182948334991
2014-04-07,0.0056294748278990815
2014-04-14,0.03405962415136976
2014-04-21,0.03233242394616043
2014-04-28,0.012175998394909949
2014-05-05,0.024890131374550904
2014-05-12,0.019348711348873917
2014-05-19,0.04093055754673028
2014-05-26,0.008610251158076218
2014-06-02,-0.01375102574830505
2014-06-09,0.0026022220119501158
2014-06-16,0.021338473158583563
2014-06-23,0.01880260006726449
2014-06-30,-0.003690019558957699
2014-07-07,0.03792904836774895
2014-07-14,0.04096231737213183
2014-07-21,0.08480958060781593
2014-07-28,0.08919917193873263
2014-08-04,0.08301982648828993
2014-08-11,0.0783795733445286
2014-08-18,0.0944008138442339
2014-08-25,0.11403697045286856
2014-09-01,0.1669304249678264
2014-09-08,0.14429285126242508
2014-09-15,0.11412144256043402
2014-09-22,0.12612164456971517
2014-09-29,0.11160996864768274
2014-10-06,0.10135645244034427
2014-10-13,0.10916100652595578
2014-10-20,0.11815879520143154
2014-10-27,0.07994406429603357
2014-11-03,0.1313510215167285
2014-11-10,0.1162571765533
2014-11-17,0.09377288896979989
2014-11-24,0.15911916601746168
2014-12-01,0.1483120474710322
2014-12-08,0.10122503393181809
2014-12-15,0.049932879637479825
2014-12-22,0.10785781444906081
2014-12-29,0.06925805828290804
2015-01-05,0.038632861172786415
2015-01-12,0.04643086596174647
2015-01-19,0.07250765842731616
2015-01-26,0.053132517150114904
2015-02-02,0.03549809150418504
2015-02-09,0.06346716451375364
2015-02-16,0.10954273570786927
2015-02-23,0.12158791483795954
2015-03-02,0.13150456681120565
2015-03-09,0.12849309473155954
2015-03-16,0.1102962999805301
2015-03-23,0.18548967700083244
2015-03-30,0.14947540081242552
2015-04-06,0.20418938569568457
2015-04-13,0.23960253630264608
2015-04-20,0.21071561804979386
2015-04-27,0.27912237443735116
2015-05-04,0.2744711564731204
2015-05-11,0.30244962189264935
2015-05-18,0.29201530471164094
2015-05-25,0.259610326125785
2015-06-01,0.22414301067052417
2015-06-08,0.2364514720231742
2015-06-15,0.24172013198010164
2015-06-22,0.254226542264267
2015-06-29,0.2454550441916344
2015-07-06,0.21569796191396157
2015-07-13,0.2071379331199169
2015-07-20,0.20480668320218381
2015-07-27,0.14954538919727905
2015-08-03,0.19377095095120994
2015-08-10,0.1677347510805352
2015-08-17,0.15619754019454962
2015-08-24,0.09732990774711003
2015-08-31,0.12203821873975576
2015-09-07,0.16737030300452893
2015-09-14,0.22157759034614585
2015-09-21,0.21276578264556378
2015-09-28,0.18177965498305806
2015-10-05,0.1958819612825749
2015-10-12,0.2059720927933318
2015-10-19,0.16745640957409086
2015-10-26,0.17708044620222535
2015-11-02,0.12294095979932884
2015-11-09,0.12105426365026874
2015-11-16,0.11528163544336557
2015-11-23,0.12988203674189458
2015-11-30,0.08307428964663822
2015-12-07,0.026301300687320242
2015-12-14,0.03328111717807612
2015-12-21,0.020201570798212755
2015-12-28,0.0211364003462096
2016-01-04,0.006450886987141555
2016-01-11,-0.09684492356749837
2016-01-18,-0.1677032879240429
2016-01-25,-0.16875061255454604
2016-02-01,-0.1199160610841841
2016-02-08,-0.1174726830370085
2016-02-15,-0.1476017270707362
2016-02-22,-0.07423046408409054
2016-02-29,-0.08756690750907095
2016-03-07,0.1456302294434674
2016-03-14,0.1420285423184249
2016-03-21,0.16522546654311898
2016-03-28,0.1426175994843937
2016-04-04,0.16378286443265822
2016-04-11,0.15664123764491789
2016-04-18,0.22730689854469988
2016-04-25,0.24284434688515286
2016-05-02,0.25994049430936894
2016-05-09,0.21423194838948925
2016-05-16,0.19363494504899087
2016-05-23,0.14038560185071958
2016-05-30,0.1389119873375387
2016-06-06,0.18908351063145223
2016-06-13,0.16542338864399303
2016-06-20,0.1606025219594795
2016-06-27,0.2162299889441718
